,冰箱,冷氣,區,坪數,型態,天然瓦斯,床,性別要求,押金,捷運站,最短租期,有陽臺,樓中樓,開放式格局,桌子,椅子,樓層,沙發,洗衣機,火車站,熱水器,第四台,網路,衣櫃,身份要求,車 位,開伙,隔間材料,電視,養寵物,現況,總價格
102,1,1,士林區,4,電梯大樓,0,1,男生,二個月,0,365,0,0,0,1,1,地下,0,1,0,1,1,1,1,學生、上班族,無,不可以,其他,1,不可以,雅房,4500
103,1,1,三重區,5,公寓,1,1,女生,面議,1,180,0,0,0,0,0,>=6,0,1,1,1,1,1,1,0,無,可以,水泥磚牆,1,不可以,雅房,6500
104,1,1,中和區,4,電梯大樓,1,1,女生,面議,1,30,1,0,0,1,1,>=6,1,1,0,1,1,1,1,學生、上班族,無,可以,水泥磚牆,1,不可以,雅房,5500
105,1,1,土城區,4,電梯大樓,1,1,女生,二個月,1,180,0,0,0,1,1,>=6,1,1,0,1,0,1,1,學生、上班族,平面式停車位，費用另計,可以,水泥磚牆,0,不可以,雅房,4300
106,1,1,板橋區,7,電梯大樓,1,1,男女生皆可,二個月,0,180,0,0,0,1,1,>=6,1,1,0,1,1,1,1,學生、上班族、家庭,無,不可以,其他,1,不可以,雅房,6700
107,1,1,汐止區,4,電梯大樓,1,1,女生,二個月,0,365,0,0,0,1,1,>=6,1,1,1,1,1,1,1,學生、上班族、家庭,無,可以,水泥磚牆,1,不可以,雅房,6200
108,1,1,新莊區,5,電梯大樓,1,1,女生,二個月,1,90,1,0,0,1,1,>=6,1,1,0,1,1,1,1,上班族,無,可以,水泥磚牆,1,不可以,雅房,6000
109,1,0,新店區,3,電梯大樓,1,1,男生,二個月,0,365,1,0,0,1,1,>=6,0,1,0,1,0,0,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,3000
110,1,1,汐止區,5,電梯大樓,1,1,男生,二個月,0,365,0,0,0,1,1,>=6,1,1,0,1,0,1,1,上班族,機械式停車位，費用另計,可以,水泥磚牆,1,不可以,雅房,6000
111,1,1,三峽區,6,電梯大樓,1,1,男女生皆可,二個月,0,90,0,0,1,1,1,>=6,1,1,0,1,0,0,1,學生、上班族,無,可以,水泥磚牆,1,不可以,雅房,8000
112,0,1,大安區,9,電梯大樓,0,1,女生,二個月,1,365,1,0,0,0,0,>=6,0,1,1,1,0,0,0,學生、上班族、家庭,無,不可以,複合式建材,1,不可以,雅房,10025
113,1,1,汐止區,6,電梯大樓,1,1,女生,二個月,1,365,1,0,0,1,1,>=6,1,1,1,1,0,0,1,學生、上班族,無,可以,水泥磚牆,1,不可以,雅房,5500
114,1,0,萬華區,5,電梯大樓,1,1,男女生皆可,一個月,0,365,1,0,0,0,0,>=6,0,1,0,1,0,1,0,0,無,不可以,水泥磚牆,1,不可以,雅房,6500
115,1,0,新店區,5,電梯大樓,1,1,女生,二個月,0,180,1,0,0,0,0,>=6,1,1,0,1,0,1,1,學生、上班族,無,可以,水泥磚牆,0,可以,雅房,5800
116,1,1,板橋區,5,電梯大樓,1,1,男女生皆可,二個月,1,365,1,0,0,1,1,>=6,1,1,1,1,1,0,1,上班族,無,不可以,水泥磚牆,1,不可以,雅房,7000
117,1,1,林口區,7,電梯大樓,1,1,男女生皆可,二個月,0,365,1,0,0,1,1,>=6,1,1,0,1,1,1,1,學生、上班族、家庭,平面式停車位，費用另計,可以,水泥磚牆,1,不可以,雅房,6500
118,1,1,萬華區,5,電梯大樓,1,1,男女生皆可,一個月,0,365,0,0,0,1,1,>=6,1,1,0,1,1,1,1,0,無,不可以,水泥磚牆,1,不可以,雅房,6500
119,0,1,信義區,4,電梯大樓,0,1,男女生皆可,二個月,0,365,1,0,0,1,1,>=6,0,0,0,1,0,0,1,0,無,不可以,其他,1,不可以,雅房,7000
120,1,1,中和區,4.5,電梯大樓,1,1,男女生皆可,二個月,0,365,0,0,0,1,1,>=6,1,0,0,1,0,1,1,學生、上班族,無,可以,水泥磚牆,0,可以,雅房,7600
121,1,1,汐止區,5,電梯大樓,1,1,男生,面議,1,365,0,0,0,1,1,>=6,0,1,1,1,1,1,1,學生、上班族,無,可以,水泥磚牆,1,不可以,雅房,6500
122,1,1,永和區,4.5,電梯大樓,1,1,男生,二個月,1,180,1,0,0,1,1,>=6,1,1,0,1,1,1,1,上班族,無,不可以,水泥磚牆,1,不可以,雅房,6800
123,1,1,新莊區,6,電梯大樓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,>=6,0,1,0,1,0,1,1,學生、上班族、家庭,無,不可以,水泥磚牆,1,不可以,雅房,6300
124,1,0,三峽區,5,電梯大樓,1,1,女生,二個月,0,365,0,0,0,1,1,>=6,0,1,0,1,0,1,1,學生、上班族,無,可以,水泥磚牆,0,不可以,雅房,3500
